"SalePrice","MSSubClass","MSZoning","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtExposure","BsmtFinType1","BsmtFinType2","Heating","HeatingQC","CentralAir","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageType","GarageCars","MoSold","YrSold","Remodeled","PorchNum","Pool","SaleTC","GarageFinish2","TotalSF","PcntBsmtUF","Bsmt","SecondFloor","Functional2","Garage","BsmtExp","LFln","LAln"
129500,"20","RL","Pave","NoAlley","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,5,1965,1965,"Hip","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","No","Rec","Unf","GasA","Ex","Y",1,0,1,0,3,1,"TA",5,0,"Detchd",1,2,2008,"no",0,"no","1",1,2080,0.128846153846154,"yes","no","yes",1,1,4.24849524204936,9.32366905728319
345000,"60","RL","Pave","NoAlley","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2005,2006,"Hip","CompShg","WdShing","Wd Shng","Stone",286,"Ex","TA","PConc","No","GLQ","Unf","GasA","Ex","Y",1,0,3,0,4,1,"Ex",11,2,"BuiltIn",3,7,2006,"yes",2,"no","0",3,3499,0.15063829787234,"yes","yes","yes",2,1,4.44265125649032,9.38630845479796
144000,"20","RL","Pave","NoAlley","IR2","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,1962,1962,"Hip","CompShg","HdBoard","Plywood","None",0,"TA","TA","CBlock","No","ALQ","Unf","GasA","TA","Y",1,0,1,0,2,1,"TA",4,0,"Detchd",1,9,2008,"no",2,"no","1",1,1824,0.191885964912281,"yes","no","yes",1,1,4.23410650459726,9.47024006341551
279500,"20","RL","Pave","NoAlley","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2006,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",306,"Gd","TA","PConc","Av","Unf","Unf","GasA","Ex","Y",0,0,2,0,3,1,"Gd",7,1,"Attchd",3,8,2007,"yes",2,"no","0",2,2988,1,"yes","no","yes",2,2,4.51085950651685,9.27350294693382
157000,"20","RL","Pave","NoAlley","IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1960,1960,"Hip","CompShg","MetalSd","MetalSd","BrkFace",212,"TA","TA","CBlock","No","BLQ","Unf","GasA","TA","Y",1,0,1,1,2,1,"TA",5,1,"Attchd",1,5,2008,"no",2,"no","1",2,2506,0.415003990422985,"yes","no","yes",2,1,4.23410650459726,9.2983512492989
132000,"45","RM","Pave","NoAlley","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Norm","Norm","1Fam","1.5Unf",7,8,1929,2001,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","No","Unf","Unf","GasA","Ex","Y",0,0,1,0,2,1,"TA",5,0,"Detchd",2,7,2007,"yes",2,"no","1",1,1686,1,"yes","no","yes",1,1,3.93182563272433,8.71931737550637
149000,"20","RL","Pave","NoAlley","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,7,1970,1970,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",180,"TA","TA","CBlock","No","ALQ","Unf","GasA","Ex","Y",1,0,1,0,2,1,"TA",5,1,"Attchd",2,3,2010,"no",0,"no","1",3,2008,0.424302788844622,"yes","no","yes",2,1,4.23410650459726,9.3273230874618
90000,"90","RL","Pave","NoAlley","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","Duplex","1Story",4,5,1967,1967,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","Slab","No Basement","No Basement","No Basement","GasA","TA","Y",0,0,2,0,2,2,"TA",6,0,"CarPort",2,10,2006,"no",0,"no","1",1,1296,0,"no","no","yes",1,0,4.27666611901606,9.28646773236373
159000,"20","RL","Pave","NoAlley","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","RRAe","Norm","1Fam","1Story",5,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","No","GLQ","Unf","GasA","Ex","Y",1,0,1,1,3,1,"Gd",6,0,"Detchd",2,6,2008,"no",1,"no","1",1,2228,0.420107719928187,"yes","no","yes",1,1,4.18965474202643,9.52478608169718
139000,"20","RL","Pave","NoAlley","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1958,1965,"Hip","CompShg","BrkFace","Plywood","None",0,"TA","TA","CBlock","No","LwQ","Unf","GasA","TA","Y",0,0,1,0,3,1,"TA",6,0,"Attchd",1,5,2009,"yes",0,"no","0",1,2368,0.510204081632653,"yes","no","yes",2,1,4.24849524204936,8.93062646917358
325300,"60","RL","Pave","NoAlley","IR1","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",380,"Gd","TA","PConc","Av","Unf","Unf","GasA","Ex","Y",0,0,3,1,4,1,"Gd",9,1,"BuiltIn",3,11,2006,"yes",2,"no","0",2,3534,1,"yes","yes","yes",2,2,4.61512051684126,9.5620530240851
139400,"45","RM","Pave","Grvl","Reg","Bnk","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Unf",7,7,1930,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","No","Unf","Unf","GasA","Ex","Y",0,0,1,0,3,1,"Gd",6,1,"Attchd",1,6,2007,"yes",1,"no","1",1,1745,1,"yes","no","yes",2,1,4.04305126783455,8.91583507417628
230000,"20","RL","Pave","NoAlley","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",8,5,2002,2002,"Hip","CompShg","VinylSd","VinylSd","BrkFace",281,"Gd","TA","PConc","No","Unf","Unf","GasA","Ex","Y",0,0,2,0,3,1,"Gd",7,1,"Attchd",2,9,2008,"no",2,"no","1",2,3572,1,"yes","no","yes",2,1,4.31748811353631,9.18420171436649
129900,"120","RM","Pave","NoAlley","Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","1Story",5,7,1976,1976,"Gable","CompShg","CemntBd","CmentBd","None",0,"TA","TA","PConc","No","GLQ","Unf","GasA","TA","Y",1,0,1,0,3,1,"TA",6,1,"Attchd",2,6,2007,"no",2,"no","1",1,2100,0.192307692307692,"yes","no","yes",2,1,3.78418963391826,8.3485378253861
154000,"20","RL","Pave","NoAlley","IR1","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,8,1968,2001,"Gable","CompShg","Plywood","Plywood","None",0,"TA","Gd","CBlock","Mn","Rec","ALQ","GasA","Ex","Y",1,0,1,0,3,1,"Gd",6,1,"Attchd",1,5,2010,"yes",2,"no","1",1,2120,0.192452830188679,"yes","no","yes",2,1,4.23410650459726,9.01748351326684
256300,"20","RL","Pave","NoAlley","Reg","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",640,"Gd","TA","PConc","No","Unf","Unf","GasA","Ex","Y",0,0,2,0,3,1,"Gd",7,1,"Attchd",3,7,2009,"no",1,"no","1",2,3166,1,"yes","no","yes",2,1,4.70048036579242,9.5631076910839
134800,"20","RL","Pave","NoAlley","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1951,2000,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","Mn","BLQ","Rec","GasA","TA","Y",0,1,1,0,3,1,"Gd",5,0,"Detchd",2,5,2010,"yes",2,"no","1",1,1800,0.2,"yes","no","yes",1,1,4.0943445622221,8.88183630500415
306000,"20","RL","Pave","NoAlley","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2007,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",200,"Gd","TA","PConc","No","GLQ","Unf","GasA","Ex","Y",1,0,2,0,3,1,"Gd",7,1,"Attchd",3,5,2010,"yes",1,"no","1",2,3408,0.285211267605634,"yes","no","yes",2,1,4.58496747867057,9.34818743866831
207500,"20","RL","Pave","NoAlley","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1957,1997,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","BLQ","Unf","GasA","TA","Y",1,0,1,0,2,1,"TA",6,2,"Attchd",1,12,2006,"yes",2,"no","1",2,3084,0.139487870619946,"yes","no","yes",2,2,3.85014760171006,9.7002079011507
68500,"30","RM","Pave","NoAlley","IR1","Lvl","AllPub","Inside","Gtl","BrkSide","Feedr","RRNn","1Fam","1Story",4,6,1927,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","No","Unf","Unf","GasA","Fa","N",0,0,1,0,1,1,"Fa",4,0,"Detchd",1,5,2008,"yes",2,"no","1",1,1040,1,"yes","no","yes",1,1,4.0943445622221,8.75210719832936
40000,"70","C (all)","Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Feedr","Norm","1Fam","2Story",4,4,1920,1950,"Gambrel","CompShg","BrkFace","BrkFace","None",0,"TA","Fa","BrkTil","No","Unf","Unf","GasA","TA","N",0,0,1,0,3,1,"TA",6,0,"Detchd",1,7,2008,"yes",2,"no","1",1,1966,1,"yes","yes","yes",1,1,3.91202300542815,9.04782144247841
149350,"20","RL","Pave","NoAlley","IR1","Lvl","AllPub","CulDSac","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,1966,2006,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","No","Unf","Unf","GasA","Gd","Y",0,0,1,1,3,1,"Gd",6,0,"Attchd",1,6,2008,"yes",1,"no","1",1,2456,1,"yes","no","yes",2,1,4.23410650459726,9.05298456119998
179900,"20","RL","Pave","NoAlley","Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Av","Unf","Unf","GasA","Ex","Y",0,0,2,0,3,1,"Gd",7,0,"Attchd",2,1,2008,"no",1,"no","1",2,2468,1,"yes","no","yes",2,2,4.44265125649032,9.31009520511317
165500,"20","RL","Pave","NoAlley","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1959,1959,"Hip","CompShg","BrkFace","BrkFace","None",0,"TA","TA","CBlock","No","Rec","Unf","GasA","Gd","Y",0,1,1,1,4,1,"Gd",6,1,"Attchd",2,4,2010,"no",1,"no","1",2,3098,0.271816881258941,"yes","no","yes",2,1,4.24849524204936,9.26407069439715
277500,"120","RL","Pave","NoAlley","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",246,"Ex","TA","PConc","No","GLQ","Unf","GasA","Ex","Y",1,0,2,0,2,1,"Ex",6,1,"Attchd",2,8,2007,"no",2,"no","1",3,3122,0.261370916079436,"yes","no","yes",2,1,4.0943445622221,8.89740886527095
309000,"60","RL","Pave","NoAlley","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",132,"Gd","TA","PConc","Av","Unf","Unf","GasA","Ex","Y",0,0,3,1,4,1,"Gd",9,1,"BuiltIn",3,9,2006,"yes",2,"no","1",3,3569,1,"yes","yes","yes",2,2,4.68213122712422,9.50435236812283
145000,"20","RL","Pave","NoAlley","Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,5,1994,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","No","Unf","Unf","GasA","Ex","Y",0,0,1,1,3,1,"TA",6,0,"Attchd",2,6,2009,"yes",2,"no","1",1,2194,1,"yes","no","yes",2,1,4.71849887129509,9.2927495082169
153000,"20","RL","Pave","NoAlley","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1954,1990,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",650,"TA","TA","CBlock","No","Rec","Unf","GasA","Gd","Y",0,1,1,0,3,1,"TA",5,1,"Attchd",2,10,2009,"yes",0,"no","1",3,2594,0.0647648419429453,"yes","no","yes",2,1,4.30406509320417,9.05157907959124
109000,"20","RL","Pave","NoAlley","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1953,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","No","GLQ","Unf","GasA","TA","Y",1,0,1,0,3,1,"Gd",5,0,"Detchd",1,1,2010,"yes",1,"no","0",1,2114,0.308420056764428,"yes","no","yes",1,1,4.21950770517611,8.97739897818186
82000,"90","RL","Pave","NoAlley","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","Duplex","1Story",4,5,1955,1955,"Gable","CompShg","AsbShng","Plywood","None",0,"TA","TA","PConc","No Basement","No Basement","No Basement","GasA","TA","N",0,0,2,0,2,2,"Fa",6,0,"None",0,6,2008,"no",0,"no","0",0,1152,0,"no","no","yes",0,0,4.17438726989564,8.70615929092886
160000,"20","RL","Pave","NoAlley","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1965,1965,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",101,"TA","TA","CBlock","No","Rec","Unf","GasA","Ex","Y",0,0,2,0,3,1,"TA",6,1,"Attchd",2,12,2006,"no",1,"no","0",2,2412,0.409007352941176,"yes","no","yes",2,1,4.43081679884331,9.06623902800193
170000,"20","RL","Pave","NoAlley","Reg","Lvl","AllPub","Inside","Gtl","Timber","Norm","Norm","1Fam","1Story",5,6,1959,1959,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","Gd","BLQ","Unf","GasA","Gd","Y",0,1,1,1,2,1,"TA",5,2,"Attchd",1,7,2007,"no",1,"no","1",2,2678,0.283703703703704,"yes","no","yes",2,2,4.74493212836325,9.73536471514199
144000,"85","RL","Pave","NoAlley","IR1","Lvl","AllPub","CulDSac","Gtl","SawyerW","Norm","Norm","1Fam","SFoyer",5,7,1983,1983,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Av","ALQ","LwQ","GasA","Gd","Y",1,0,1,0,2,1,"Gd",5,0,"Attchd",2,12,2007,"no",1,"no","1",2,1724,0,"yes","no","yes",2,2,4.23410650459726,9.12478248361454
130250,"20","RL","Pave","NoAlley","IR1","Lvl","AllPub","CulDSac","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,6,1975,1980,"Hip","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","Av","LwQ","BLQ","GasA","TA","Y",1,0,1,0,3,1,"TA",5,0,"Detchd",1,7,2008,"yes",1,"no","1",1,1876,0.178038379530917,"yes","no","yes",1,2,4.23410650459726,9.12695876303713
141000,"20","RL","Pave","NoAlley","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1959,1959,"Gable","CompShg","BrkFace","Wd Sdng","None",0,"TA","TA","CBlock","No","ALQ","BLQ","GasA","Ex","Y",1,0,1,0,3,1,"TA",6,0,"Attchd",1,5,2006,"no",0,"no","1",2,2300,0.404347826086957,"yes","no","yes",2,1,4.24849524204936,8.98029807897082
319900,"120","RL","Pave","NoAlley","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",412,"Ex","TA","PConc","No","GLQ","Unf","GasA","Ex","Y",1,0,2,0,2,1,"Ex",6,1,"Attchd",2,2,2010,"no",2,"no","1",2,3504,0.73972602739726,"yes","no","yes",2,1,4.11087386417331,8.94350613203724
239686,"50","RL","Pave","NoAlley","IR1","Lvl","AllPub","CulDSac","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","No","GLQ","Unf","GasA","Ex","Y",1,0,1,1,1,1,"Gd",6,1,"Attchd",2,8,2009,"no",3,"no","0",2,3583,0.0578800557880056,"yes","yes","yes",2,1,3.87120101090789,9.4589177245472
249700,"20","FV","Pave","NoAlley","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Av","GLQ","Unf","GasA","Ex","Y",0,0,2,0,3,1,"Gd",7,0,"Attchd",3,7,2007,"no",1,"no","1",2,3312,0.985507246376812,"yes","no","yes",2,2,4.43081679884331,9.31433996199467
113000,"190","RM","Pave","NoAlley","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","2fmCon","2Story",4,5,1920,2008,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","No","Unf","Unf","GasA","Gd","Y",0,0,2,0,2,3,"TA",8,0,"None",0,6,2009,"yes",1,"no","0",0,2188,1,"yes","yes","yes",0,1,3.49650756146648,8.40200678160712
127000,"20","RL","Pave","NoAlley","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,7,1966,1966,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","No","BLQ","Unf","GasA","Ex","Y",1,0,1,0,3,1,"TA",6,0,"Attchd",1,1,2007,"no",0,"no","1",1,1910,0.201047120418848,"yes","no","yes",2,1,4.18965474202643,8.95441533113759
177000,"60","RL","Pave","NoAlley","IR2","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,6,1997,1997,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Av","GLQ","Unf","GasA","Gd","Y",0,1,2,0,3,1,"TA",6,0,"Attchd",2,7,2007,"no",1,"no","1",3,2264,0.770780856423174,"yes","yes","yes",2,2,4.23410650459726,9.53741141265633
114500,"50","RM","Pave","NoAlley","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",6,6,1934,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","No","Unf","Unf","GasA","TA","Y",0,0,1,0,3,1,"TA",6,1,"Detchd",2,9,2006,"yes",1,"no","1",1,1992,1,"yes","no","yes",1,1,3.95124371858143,8.73873546136347
110000,"90","RM","Grvl","NoAlley","IR2","Bnk","AllPub","Corner","Mod","IDOTRR","RRNn","Norm","Duplex","1Story",5,5,1963,1963,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Fa","TA","CBlock","Gd","LwQ","GLQ","GasA","TA","N",1,0,1,0,2,1,"TA",5,0,"CarPort",2,5,2010,"no",1,"no","1",1,1632,0,"yes","no","yes",1,2,4.70048036579242,9.04452188728124
385000,"20","RL","Pave","NoAlley","IR1","Low","AllPub","Inside","Gtl","Veenker","Norm","Norm","1Fam","1Story",9,5,1981,1987,"Gable","WdShngl","WdShing","Wd Shng","None",0,"Gd","TA","CBlock","Gd","GLQ","Unf","GasA","Gd","Y",2,0,0,1,0,1,"Gd",5,1,"Attchd",3,11,2006,"yes",2,"no","1",3,3684,0.0173724212812161,"yes","no","yes",2,2,4.21950770517611,10.8251836490688
130000,"80","RL","Pave","NoAlley","Reg","Bnk","AllPub","Inside","Mod","NAmes","Norm","Norm","1Fam","SLvl",5,5,1955,1955,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","No","ALQ","Unf","GasA","TA","Y",0,0,1,0,3,1,"TA",6,1,"Detchd",2,2,2007,"no",1,"no","1",1,1744,0,"yes","no","yes",1,1,4.0943445622221,8.87262736591884
180500,"20","RL","Pave","NoAlley","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1964,1964,"Gable","CompShg","HdBoard","Plywood","BrkFace",272,"TA","TA","CBlock","No","BLQ","Unf","GasA","Gd","Y",0,0,2,0,3,1,"TA",7,1,"Attchd",2,7,2008,"no",1,"no","1",2,2850,0.656140350877193,"yes","no","yes",2,1,4.60517018598809,9.2276890103108
172500,"160","FV","Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","Twnhs","2Story",8,5,1999,2000,"Gable","CompShg","MetalSd","MetalSd","BrkFace",456,"Gd","TA","PConc","No","GLQ","Unf","GasA","Ex","Y",1,0,2,1,3,1,"Gd",7,0,"Attchd",2,8,2009,"yes",1,"no","0",3,2709,0.330927835051546,"yes","yes","yes",2,1,3.17805383034795,7.8804263442924
196500,"60","RL","Pave","NoAlley","IR1","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","No","Unf","Unf","GasA","Ex","Y",0,0,2,1,3,1,"Gd",7,0,"Attchd",2,8,2006,"no",1,"no","1",2,2580,1,"yes","yes","yes",2,1,4.48863636973214,9.36263218231844
438780,"60","RL","Pave","NoAlley","IR2","HLS","AllPub","CulDSac","Gtl","StoneBr","Norm","Norm","1Fam","2Story",10,5,2006,2006,"Hip","CompShg","VinylSd","VinylSd","BrkFace",1031,"Ex","TA","PConc","Gd","Unf","Unf","GasA","Ex","Y",0,0,3,1,3,1,"Gd",10,1,"BuiltIn",3,10,2006,"no",2,"no","0",3,4355,1,"yes","yes","yes",2,2,4.18965474202643,9.52383637932094
